human,machine
1/27/79,1979-01-27
tuesday november 6 2012,2012-11-06
thursday december 29 1977,1977-12-29
20 may 2008,2008-05-20
15 november 1992,1992-11-15
tuesday august 20 2013,2013-08-20
sunday march 20 1994,1994-03-20
april 30 2000,2000-04-30
4/11/12,2012-04-11
saturday september 19 2015,2015-09-19
jun 21 1974,1974-06-21
sunday october 7 1979,1979-10-07
4 november 1986,1986-11-04
27.05.70,1970-05-27
16 jul 1977,1977-07-16
7 02 95,1995-02-07
18 november 2004,2004-11-18
02 may 1984,1984-05-02
9 02 91,1991-02-09
december 17 1998,1998-12-17
22 june 1988,1988-06-22
sunday may 2 1993,1993-05-02
monday june 9 1980,1980-06-09
friday march 20 1970,1970-03-20
11.02.74,1974-02-11
wednesday december 25 2002,2002-12-25
9/9/90,1990-09-09
friday march 10 2017,2017-03-10
november 17 1985,1985-11-17
monday july 5 2010,2010-07-05
25 may 1997,1997-05-25
monday december 9 1991,1991-12-09
thursday april 28 2016,2016-04-28
saturday march 23 1991,1991-03-23
dec 27 1974,1974-12-27
monday may 18 1992,1992-05-18
1 february 1988,1988-02-01
september 9 1992,1992-09-09
tuesday august 25 2015,2015-08-25
tuesday january 24 1984,1984-01-24
09.03.03,2003-03-09
28 june 2017,2017-06-28
nov 24 1974,1974-11-24
monday october 24 2005,2005-10-24
thursday february 6 2003,2003-02-06
13 aug 1994,1994-08-13
tuesday july 19 1988,1988-07-19
monday august 5 1974,1974-08-05
28 jul 2005,2005-07-28
04.11.12,2012-11-04
aug 24 1978,1978-08-24
wednesday january 4 2012,2012-01-04
13 august 1987,1987-08-13
01 mar 1975,1975-03-01
january 8 2018,2018-01-08
friday june 17 1977,1977-06-17
sunday november 18 2012,2012-11-18
31 march 2010,2010-03-31
sunday august 20 2017,2017-08-20
26.07.99,1999-07-26
thursday june 19 2014,2014-06-19
1 january 2006,2006-01-01
25 jan 1983,1983-01-25
20 mar 1973,1973-03-20
oct 30 1992,1992-10-30
saturday october 15 2005,2005-10-15
sep 3 2013,2013-09-03
24 feb 2001,2001-02-24
december 25 1980,1980-12-25
4/18/99,1999-04-18
16 06 04,2004-06-16
tuesday february 20 2001,2001-02-20
saturday july 14 1973,1973-07-14
11 nov 1988,1988-11-11
27 02 17,2017-02-27
monday may 10 1976,1976-05-10
25 jan 1980,1980-01-25
february 12 2011,2011-02-12
24 sep 1989,1989-09-24
21 dec 2010,2010-12-21
january 17 2009,2009-01-17
thursday july 6 1995,1995-07-06
9 january 2015,2015-01-09
16 dec 1982,1982-12-16
3 june 2007,2007-06-03
december 24 1972,1972-12-24
8 september 1991,1991-09-08
